code_type,code,lat,lon
IATA,AAA,-17.35260009765625,-145.50999450683594
IATA,AAC,31.073299408,33.8358001709
IATA,AAE,36.822201,7.809174
IATA,AAF,29.72750092,-85.02749634
IATA,AAH,50.823055267333984,6.186388969421387
IATA,AAK,0.1852779984474182,173.63699340820312
IATA,AAL,57.0927589138,9.84924316406
IATA,AAM,-24.818099975585938,31.544599533081055
IATA,AAN,24.261699676513672,55.60919952392578
IATA,AAO,9.430225372314453,-64.4707260131836
IATA,AAP,29.722499847399998,-95.58830261230001
IATA,AAQ,45.002101898193,37.347301483154
IATA,AAR,56.2999992371,10.619000434899998
IATA,AAT,47.7498855591,88.08580780030002
IATA,AAV,6.366819858551025,124.7509994506836
IATA,AAX,-19.563199996948,-46.960399627686
IATA,AAY,16.191699981689453,52.17499923706055
IATA,AAZ,14.8656,-91.501999
IATA,ABA,53.7400016784668,91.38500213623047
IATA,ABB,6.204167,6.665278
IATA,ABC,38.9485015869,-1.8635200262099998
IATA,ABD,30.371099472,48.2282981873
IATA,ABE,40.652099609375,-75.44080352783203
IATA,ABF,1.798609972000122,173.04100036621094
IATA,ABH,-23.646099,146.584
IATA,ABI,32.4113006592,-99.68190002440001
IATA,ABJ,5.261390209197998,-3.9262900352478027
IATA,ABK,6.734,44.252998
IATA,ABL,67.1063,-157.856989
IATA,ABM,-10.9508,142.459
IATA,ABN,5.512720108032227,-54.05009841918945
IATA,ABQ,35.040199,-106.609001
IATA,ABR,45.449100494384766,-98.42179870605469
IATA,ABS,22.375999450699997,31.611700058
IATA,ABT,20.2961006165,41.6343002319
IATA,ABV,9.006790161132812,7.263169765472412
IATA,ABX,-36.06779861450195,146.95799255371094
IATA,ABY,31.535499572753906,-84.19450378417969
IATA,ABZ,57.201900482177734,-2.197779893875122
IATA,ACA,16.757099151611328,-99.75399780273438
IATA,ACC,5.605189800262451,-0.16678600013256073
IATA,ACD,8.51667,-77.3
IATA,ACE,28.945499,-13.6052
IATA,ACF,-27.5702991486,153.007995605
IATA,ACH,47.4850006104,9.560770034789998
IATA,ACI,49.706104,-2.21472
IATA,ACJ,8.30148983002,80.42790222170001
IATA,ACK,41.25310135,-70.06020355
IATA,ACN,29.332899,-101.098998
IATA,ACP,37.347999572753906,46.127899169921875
IATA,ACR,-0.5833,-72.4083
IATA,ACS,56.2682991027832,90.57080078125
IATA,ACT,31.611299514770508,-97.23049926757812
IATA,ACV,40.978101,-124.109
IATA,ACX,25.0863888889,104.959444444
IATA,ACY,39.45759963989258,-74.57720184326172
